-,-,-
963, 30, 187
997, 17, 228
914, 21, 242
914, 21, 242
919, -22, 160
971, -18, -72
926, -5, -73
810, -24, -28
810, -24, -28
696, -33, 63
596, -42, 90
558, -31, -15
522, -25, -41
448, -2, -11
448, -2, -11
402, 33, -15
366, 18, 72
362, -21, 179
362, -21, 179
453, -27, 199
554, -42, 207
649, -108, 186
762, -233, 219
915, -271, 257
915, -271, 257
1001, -190, 355
1105, -218, 390
1240, -244, 415
1331, -162, 444
1493, -137, 475
1587, -210, 618
1704, -215, 624
1805, -269, 703
1948, -381, 726
1970, -432, 625
1925, -386, 567
1808, -296, 554
1673, -212, 525
1673, -212, 525
1537, -131, 518
1392, -82, 458
1269, -18, 411
1186, 25, 364
1160, 59, 279
1097, 51, 237
1050, 55, 214
1050, 55, 214
985, 70, 210
917, 157, 185
887, 189, 246
877, 105, 256
877, 105, 256
867, 61, 205
823, 84, 200
754, 105, 202
699, 156, 96
699, 156, 96
647, 212, 102
523, 282, 127
458, 318, 185
464, 351, 256
499, 335, 242
499, 335, 242
559, 321, 183
574, 333, 137
592, 372, 119
621, 416, 188
621, 416, 188
660, 444, 254
727, 455, 242
761, 467, 219
783, 503, 249
838, 511, 288
838, 511, 288
905, 473, 284
971, 437, 227
1018, 362, 225
1052, 307, 217
1040, 283, 257
1060, 206, 243
1060, 206, 243
1078, 125, 210
1081, 91, 191
1060, 56, 171
1032, 32, 158
998, 26, 163
998, 26, 163
971, -5, 138
971, -48, 77
977, -89, -20
981, -129, -50
981, -129, -50
964, -188, -31
949, -223, -64
929, -245, -164
918, -279, -206
892, -329, -183
828, -333, -118
773, -297, -88
723, -269, -56
676, -273, -67
676, -273, -67
658, -296, -132
631, -323, -122
578, -285, -63
488, -185, -15
410, -86, 42
357, -32, 68
357, -32, 68
388, -84, 57
518, -137, 72
612, -166, 41
653, -186, 25
653, -186, 25
741, -266, 58
890, -248, 43
965, -156, 119
1007, -168, 31
1080, -138, 17
1163, 32, 232
1163, 32, 232
1194, 76, 318
1449, 88, 357
1423, 83, 187
1558, 142, 429
1552, 143, 477
1552, 143, 477
1570, 109, 537
1617, 14, 496
1651, -91, 555
1642, -141, 599
1605, -158, 527
1580, -213, 415
1573, -259, 319
1571, -262, 229
1515, -255, 134
1473, -286, 170
1473, -286, 170
1430, -271, 188
1418, -234, 170
1365, -211, 92
1290, -167, 88
1241, -89, 114
1181, -43, 111
1104, -43, 106
993, 0, 104
993, 0, 104
845, 124, 114
690, 232, 202
586, 254, 256
495, 310, 296
495, 310, 296
401, 421, 371
355, 510, 430
365, 522, 490
454, 485, 492
562, 446, 401
562, 446, 401
614, 462, 372
664, 507, 383
725, 550, 350
805, 557, 316
805, 557, 316
852, 558, 321
874, 596, 356
867, 632, 390
867, 620, 381
888, 574, 373
888, 574, 373
904, 525, 346
900, 481, 318
872, 405, 329
865, 291, 335
879, 155, 319
879, 155, 319
875, 26, 284
885, -102, 217
875, -169, 145
873, -227, 80
893, -331, 0
893, -331, 0
936, -452, -140
965, -535, -246
993, -581, -313
982, -599, -304
988, -643, -277
1009, -702, -254
1015, -705, -274
977, -674, -278
920, -605, -283
828, -484, -250
718, -341, -218
718, -341, -218
618, -246, -161
525, -168, -90
435, -61, -36
393, 23, 33
398, 34, 22
398, 34, 22
449, -26, -49
467, -89, -65
490, -95, -4
601, -213, 121
601, -213, 121
740, -324, 69
800, -281, -90
869, -196, -64
979, -323, 109
1096, -329, 101
1127, -95, 97
1233, -70, 180
1233, -70, 180
1379, -262, 257
1508, -304, 317
1509, -155, 319
1518, -140, 305
1493, -171, 488
1443, -131, 564
1370, -83, 568
1314, -133, 567
1278, -221, 529
1271, -275, 440
1229, -291, 383
1173, -299, 300
1147, -270, 200
1147, -270, 200
1130, -224, 138
1152, -213, 79
1203, -218, 123
1262, -197, 188
1359, -228, 241
1407, -250, 298
1412, -202, 406
1458, -125, 488
1494, -72, 440
1476, -53, 393
1381, 2, 395
1381, 2, 395
1231, 73, 404
1063, 197, 408
885, 257, 387
710, 252, 331
710, 252, 331
576, 295, 223
444, 387, 233
301, 466, 366
264, 492, 403
292, 481, 313
292, 481, 313
402, 427, 190
506, 349, 161
569, 325, 251
651, 334, 260
744, 344, 186
744, 344, 186
839, 321, 197
869, 333, 226
870, 414, 266
882, 452, 300
882, 452, 300
897, 462, 290
904, 484, 283
887, 507, 297
882, 483, 309
895, 409, 298
895, 409, 298
931, 338, 245
953, 261, 209
932, 180, 207
928, 111, 184
936, 43, 101
936, 43, 101
955, -44, 18
963, -146, -66
943, -222, -141
902, -268, -184
903, -324, -240
931, -416, -291
931, -416, -291
959, -510, -335
960, -567, -282
958, -608, -223
973, -645, -212
989, -646, -269
954, -600, -254
891, -538, -186
824, -469, -112
770, -397, -67
711, -323, -35
664, -294, 10
664, -294, 10
614, -266, 7
588, -225, -76
560, -194, -139
534, -123, -164
488, -55, -93
460, -37, -6
460, -37, -6
481, -38, 4
598, -132, -111
766, -249, -214
912, -309, -246
968, -334, -117
1024, -310, 5
1024, -310, 5
1117, -219, 61
1197, -176, 125
1266, -238, 119
1376, -250, 145
1460, -264, 134
1476, -279, 188
1441, -298, 306
1441, -287, 367
1419, -280, 419
1353, -268, 423
1277, -246, 427
1277, -246, 427
1240, -236, 446
1229, -304, 442
1252, -389, 377
1362, -495, 294
1548, -614, 269
1605, -613, 311
1595, -557, 305
1518, -482, 308
1422, -373, 201
1299, -214, 197
1173, -85, 169
1034, 22, 176
1034, 22, 176
935, 45, 159
885, 81, 12
794, 148, 25
634, 308, 23
634, 308, 23
442, 492, 188
362, 590, 372
418, 556, 395
496, 547, 285
496, 547, 285
516, 596, 388
551, 591, 442
648, 506, 382
753, 444, 302
792, 451, 273
792, 451, 273
786, 491, 356
789, 539, 380
847, 501, 342
907, 438, 273
907, 438, 273
936, 448, 240
931, 466, 236
932, 432, 233
944, 380, 202
988, 313, 139
988, 313, 139
1039, 269, 57
1016, 235, 65
982, 204, 96
922, 162, 111
922, 162, 111
879, 98, 140
876, -8, 115
844, -97, 71
806, -161, 50
806, -161, 50
811, -275, -98
862, -432, -274
898, -559, -384
916, -648, -375
922, -716, -310
935, -756, -308
939, -757, -344
913, -726, -383
893, -658, -369
844, -586, -312
779, -502, -246
779, -502, -246
712, -412, -191
661, -350, -146
632, -319, -157
606, -318, -153
568, -293, -133
547, -243, -160
532, -198, -162
510, -216, -166
490, -281, -231
488, -319, -336
529, -266, -434
510, -237, -362
488, -298, -240
469, -369, -165
469, -369, -165
496, -335, -140
603, -219, -152
758, -117, -103
901, -38, 79
1138, -37, 281
1428, -96, 394
1736, -133, 738
1894, -73, 935
1957, -72, 969
1957, -72, 969
1996, -152, 959
1997, -229, 860
1898, -240, 848
1729, -256, 689
1545, -261, 520
1394, -283, 374
1299, -319, 202
1235, -357, 104
1174, -344, 30
1172, -329, 13
1207, -384, 33
1207, -384, 33
1267, -453, 50
1238, -442, 92
1188, -371, 150
1155, -340, 176
1157, -323, 140
1045, -346, 163
970, -307, 113
851, -219, 76
